0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,,,,,,,
AF070密封试验参数汇总表,,,,,,,,,,,,,
车间：,PFEP,,生产线：,ZK,,技术负责人：,王勇,,汇总时间：,2026-5-15,,,
,,,,,,,,,,,,,
工位名称,设备厂家,"密封设备
厂家",检测内容,型号,许可泄漏率cm3/min,"预充气或
VEX充气时间
（S）","（工件）
充气时间
 (S)","平衡时间 
（S）","测量时间
（S）","排气时间
（S）",检测压力(bar),"偏置
*参数可调",容积系数(vt)                  *参数可调
AF070,ELWEMA,FROEHLICH,水道,GEN3,-4~10,8,10,无,4,0,2,0,1.4
AF070,ELWEMA,FROEHLICH,油道,GEN3,-3~10,2,4,5,3,0,4,0.5,157
AF070,ELWEMA,FROEHLICH,空腔,GEN3,-3~10,2,3,6,3,0,0.5,-0.4,161
AF070,ELWEMA,FROEHLICH,水道,BZ,-3~10,8,10,无,4,2,2,0,1.55
AF070,ELWEMA,FROEHLICH,油道,BZ,-3~10,2,4,5,3,0,4,0.7,160
AF070,ELWEMA,FROEHLICH,空腔,BZ,-3~10,2,3,6,3,0,0.5,-0.1,164
AF070,ELWEMA,FROEHLICH,水道,EVO5 MQB,-3~10,6,12,无,5,1,2.7,-0.12,1.36
AF070,ELWEMA,FROEHLICH,油道,EVO5 MQB,-3~10,2,3,5,6,0,4,0.27,169.4
AF070,ELWEMA,FROEHLICH,空腔,EVO5 MQB,-3~10,2,3,6,3,0,0.5,-0.4,162.3
AF070,ELWEMA,FROEHLICH,水道,EVO5 MLB,-3~10,6,12,无,5,1,2.7,-0.3,1.323
AF070,ELWEMA,FROEHLICH,油道,EVO5 MLB,-3~10,2,4,7,6,0,4,0.5,181.1
AF070,ELWEMA,FROEHLICH,空腔,EVO5 MLB,-3~10,2,3,6,3,0,0.5,-0.4,163
